Title,Year,Bond actor,Director,Box office_(Actual $ (millions)),Budget_(Actual $ (millions)),Salary of Bond actor_(Actual $ (millions)),Box office_(Adjusted 2005 $ (millions)),Budget_(Adjusted 2005 $ (millions)),Salary of Bond actor_(Adjusted 2005 $ (millions))
A View to a Kill,1985,Roger Moore,John Glen,152.4,30,5,275.2,54.5,9.1
Casino Royale,1967,David Niven,Ken Hughes John Huston Joseph McGrath Robert Parrish Val Guest Richard Talmadge,44.4,12,,260,70,
Casino Royale,2006,Daniel Craig,Martin Campbell,594.2,150,3.4,581.5,145.3,3.3
Diamonds Are Forever,1971,Sean Connery,Guy Hamilton,116,7.2,1.2 + 12.5% of gross (14.5),442.5,34.7,5.8 excluding profit participation
Die Another Day,2002,Pierce Brosnan,Lee Tamahori,431.9,142,16.5,465.4,154.2,17.9
Dr. No,1962,Sean Connery,Terence Young,59.5,1.1,0.1,448.8,7,0.6
For Your Eyes Only,1981,Roger Moore,John Glen,194.9,28,,449.4,60.2,
From Russia with Love,1963,Sean Connery,Terence Young,78.9,2,0.3,543.8,12.6,1.6
GoldenEye,1995,Pierce Brosnan,Martin Campbell,351.9,60,4,518.5,76.9,5.1
Goldfinger,1964,Sean Connery,Guy Hamilton,124.9,3,0.5,820.4,18.6,3.2
Licence to Kill,1989,Timothy Dalton,John Glen,156.2,36,5,250.9,56.7,7.9
Live and Let Die,1973,Roger Moore,Guy Hamilton,126.4,7,0.18,460.3,30.8,0.7
Moonraker,1979,Roger Moore,Lewis Gilbert,210.3,34,,535,91.5,
Never Say Never Again,1983,Sean Connery,Irvin Kershner,160,36,,314,71,
Octopussy,1983,Roger Moore,John Glen,183.7,27.5,4,373.8,53.9,7.8
On Her Majesty's Secret Service,1969,George Lazenby,Peter R. Hunt,64.6,7,0.1,291.5,37.3,0.6
Quantum of Solace,2008,Daniel Craig,Marc Forster,576,200,8.9,514.2,181.4,8.1
Skyfall,2012,Daniel Craig,Sam Mendes,1108.6,150.0_200.0,17,943.5,127.7_170.2,14.5
Spectre,2015,Daniel Craig,Sam Mendes,880.7,245.0_250.0,39,725.5,201.8_205.9,
The Living Daylights,1987,Timothy Dalton,John Glen,191.2,40,3,313.5,68.8,5.2
The Man with the Golden Gun,1974,Roger Moore,Guy Hamilton,98.5,7,0.24 + 2.5%,334,27.7,0..8 excluding profit participation
The Spy Who Loved Me,1977,Roger Moore,Lewis Gilbert,185.4,14,0.3 + 3.75%,533,45.1,0..9 excluding profit participation
The World Is Not Enough,1999,Pierce Brosnan,Michael Apted,361.8,135,12.4,439.5,158.3,13.5
Thunderball,1965,Sean Connery,Terence Young,141.2,6.8,0.8,848.1,41.9,4.7
Tomorrow Never Dies,1997,Pierce Brosnan,Roger Spottiswoode,338.9,110,8.2,463.2,133.9,10
Total,Total,All films,All films,"7,033.50","1,501_1,556",,"13,283","2,162_2,208",
Total,Total,Eon-produced film series,Eon-produced film series,"6,829.10","1,453_1,508",,"12,086","1,881_1,927",
You Only Live Twice,1967,Sean Connery,Lewis Gilbert,101,10.3,0.8 + 25% net merch royalty,514.2,59.9,4.4 excluding profit participation
